#	Powered by Chinese Virtual Observatory (China-VO): www.china-vo.org 2017-02-28 09:39:52
#	In case of problem: please contact support@lamost.org
#----------------------------------------------------------------------------
#	obsid,long,I8,
#	obsdate,date,A40,
#	lmjd,int,I4,
#	mjd,int,I4,
#	planid,char,A40,
#	spid,int,I2,
#	fiberid,int,I2,
#	class,char,A20,
#	subclass,char,A20,
#	z,double,F21.10,
#	ra,double,F16.10,
#	dec,double,F16.10,
#	teff,double,F10.10,
#	logg,double,F10.10,
#	feh,double,F10.10,
#	rv,double,F10.10,
#----------------------------------------------------------------------------
obsid,obsdate,lmjd,mjd,planid,spid,fiberid,class,subclass,z,ra,dec,teff,logg,feh,rv
100204094,2013-01-02,56295,56294,GAC102N27V3,4,94,STAR,F5,-0.0000468324,102.4437400000,26.8909610000,6396.71,3.894,-0.089,-14.04
100202018,2013-01-02,56295,56294,GAC102N27V3,2,18,STAR,F7,0.0000646000,101.2983800000,25.3038580000, , , , 
100215156,2013-01-02,56295,56294,GAC102N27V3,15,156,STAR,A2IV,0.0000203500,101.6555900000,28.5583440000, , , , 
100212088,2013-01-02,56295,56294,GAC102N27V3,12,88,STAR,A2V,0.0000240000,103.5588400000,28.7443280000, , , , 
100213146,2013-01-02,56295,56294,GAC102N27V3,13,146,STAR,A1V,-0.0000632600,104.2745100000,27.7883400000, , , , 
100209058,2013-01-02,56295,56294,GAC102N27V3,9,58,STAR,A2V,0.0000402500,103.3187900000,28.2127510000, , , , 
100205233,2013-01-02,56295,56294,GAC102N27V3,5,233,STAR,A7V,0.0000901100,101.6326700000,26.0923390000, , , , 
160503210,2013-10-02,56568,56567,EG023131N032619B01,3,210,STAR,F0,-0.0000587406,37.0255222000,3.9430027000,6696.23,4.170,-0.502,-17.61
160507232,2013-10-02,56568,56567,EG023131N032619B01,7,232,STAR,F6,0.0001480024,38.7788694000,1.2035852000,6122.30,4.274,-0.530,44.37
160504053,2013-10-02,56568,56567,EG023131N032619B01,4,53,STAR,F5,-0.0000429964,38.1639978000,3.7392309000,6561.38,4.045,0.102,-12.89
49210007,2012-04-03,56021,56020,VB3_197N18_V1,10,7,STAR,F2,-0.0000659456,195.1598400000,18.4119300000,6245.31,4.315,0.115,-19.77
56903039,2012-10-01,56202,56201,EG021402N263737V01,3,39,STAR,A7V,0.0000511600,32.4731400000,26.2053500000, , , , 
56903081,2012-10-01,56202,56201,EG021402N263737V01,3,81,STAR,F9,-0.0000180458,31.9952100000,26.2921900000,6062.53,3.931,0.106,-5.41
56903191,2012-10-01,56202,56201,EG021402N263737V01,3,191,STAR,F5,0.0000861930,32.4621400000,26.4844500000,6383.82,4.013,-0.133,25.84
56910029,2012-10-01,56202,56201,EG021402N263737V01,10,29,STAR,B6,-0.0000325300,31.7052000000,25.7044700000, , , , 
56910069,2012-10-01,56202,56201,EG021402N263737V01,10,69,STAR,A3IV,-0.0001207168,31.6772100000,25.8309200000,8174.41,3.775,-0.058,-36.19
56916061,2012-10-01,56202,56201,EG021402N263737V01,16,61,STAR,A2IV,0.0001203900,32.3268100000,28.3941800000, , , , 
56906036,2012-10-01,56202,56201,EG021402N263737V01,6,36,STAR,F5,-0.0000669463,35.4160000000,26.5159100000,6443.62,4.303,-0.158,-20.07
56909202,2012-10-01,56202,56201,EG021402N263737V01,9,202,STAR,A2IV,-0.0000075700,34.0533700000,27.0269800000, , , , 
100302037,2013-01-02,56295,56294,GAC102N27V4,2,37,STAR,A1V,0.0000492900,100.5006600000,25.8192620000, , , , 
100302178,2013-01-02,56295,56294,GAC102N27V4,2,178,STAR,A2IV,0.0000902800,100.7251700000,26.0672530000, , , , 
100304147,2013-01-02,56295,56294,GAC102N27V4,4,147,STAR,A2IV,0.0000075200,102.0375300000,26.7029930000, , , , 
56912238,2012-10-01,56202,56201,EG021402N263737V01,12,238,STAR,F2,0.0000058040,34.3555300000,28.7448100000,6295.98,4.346,0.085,1.74
56914068,2012-10-01,56202,56201,EG021402N263737V01,14,68,STAR,A1V,-0.0000127700,31.6322400000,26.8376000000, , , , 
49314161,2012-04-03,56021,56020,VB3_208S01_V1,14,161,STAR,F0,-0.0000398276,207.1369800000,-1.0227380000,6892.10,4.137,-0.057,-11.94
49314199,2012-04-03,56021,56020,VB3_208S01_V1,14,199,STAR,F0,-0.0000944320,206.5968900000,-1.2289320000,7386.16,3.942,0.383,-28.31
57010096,2012-10-01,56202,56201,EG021402N263737V02,10,96,STAR,F6,0.0000357247,30.9142100000,25.9354800000,6223.91,3.951,-0.020,10.71
160716092,2013-10-02,56568,56567,EG233013N050046M01,16,92,STAR,A2V,-0.0000563200,351.0930200000,6.1883900000, , , , 
57104172,2012-10-01,56202,56201,EG030725N175247V01,4,172,STAR,A6IV,-0.0000164447,46.5829660000,17.8588220000,8070.81,3.967,-0.195,-4.93
57103020,2012-10-01,56202,56201,EG030725N175247V01,3,20,STAR,F3,-0.0001171811,46.1914160000,17.6526980000,6574.92,4.218,-0.332,-35.13
57103102,2012-10-01,56202,56201,EG030725N175247V01,3,102,STAR,G3,0.0000512021,45.5651800000,18.3291800000,5678.44,4.301,-0.116,15.35
57116055,2012-10-01,56202,56201,EG030725N175247V01,16,55,STAR,F0,0.0000383265,45.7848600000,19.8013500000,6980.32,3.931,0.026,11.49
57116087,2012-10-01,56202,56201,EG030725N175247V01,16,87,STAR,F3,0.0000895000,45.2957300000,19.4027600000, , , , 
57109077,2012-10-01,56202,56201,EG030725N175247V01,9,77,STAR,F5,-0.0000884278,47.5413700000,19.2411400000,6518.15,4.100,-0.051,-26.51
57113080,2012-10-01,56202,56201,EG030725N175247V01,13,80,STAR,A6IV,-0.0001334100,48.4951500000,17.8886600000, , , , 
160803178,2013-10-02,56568,56567,KP195920N454621M01,3,178,STAR,A1IV,-0.0000653000,298.3637485000,45.7210007000, , , , 
160803199,2013-10-02,56568,56567,KP195920N454621M01,3,199,STAR,A1IV,-0.0000081200,298.9892872000,45.5272797000, , , , 
160803207,2013-10-02,56568,56567,KP195920N454621M01,3,207,STAR,A1IV,-0.0000389100,298.6514787000,46.3044133000, , , , 
160802063,2013-10-02,56568,56567,KP195920N454621M01,2,63,STAR,A1V,-0.0001001100,298.8857234000,44.0064583000, , , , 
160802076,2013-10-02,56568,56567,KP195920N454621M01,2,76,STAR,G7,-0.0000688810,297.4825463000,43.9559504000,5569.46,4.607,0.113,-20.65
160802092,2013-10-02,56568,56567,KP195920N454621M01,2,92,STAR,A1V,-0.0000406400,297.3249422000,44.0694860000, , , , 
160802147,2013-10-02,56568,56567,KP195920N454621M01,2,147,STAR,A5V,-0.0000078400,297.7708375000,43.9499349000, , , , 
160802165,2013-10-02,56568,56567,KP195920N454621M01,2,165,STAR,B6,-0.0003365800,297.1957580000,44.3561075000, , , , 
160816085,2013-10-02,56568,56567,KP195920N454621M01,16,85,STAR,A5V,-0.0001008000,297.6714797000,47.0094258000, , , , 
160816194,2013-10-02,56568,56567,KP195920N454621M01,16,194,STAR,A1IV,-0.0000724200,297.5851722000,47.1949639000, , , , 
160816199,2013-10-02,56568,56567,KP195920N454621M01,16,199,STAR,A1IV,0.0000119400,297.9296768000,47.3906496000, , , , 
160816219,2013-10-02,56568,56567,KP195920N454621M01,16,219,STAR,A6IV,-0.0000947200,297.3028690000,47.4171919000, , , , 
160804075,2013-10-02,56568,56567,KP195920N454621M01,4,75,STAR,A5V,-0.0000251000,300.1295351000,45.9904101000, , , , 
160804120,2013-10-02,56568,56567,KP195920N454621M01,4,120,STAR,A1IV,0.0000303900,300.4788927000,45.5927178000, , , , 
160804171,2013-10-02,56568,56567,KP195920N454621M01,4,171,STAR,A1V,-0.0001757600,299.1108179000,45.7013672000, , , , 
160804200,2013-10-02,56568,56567,KP195920N454621M01,4,200,STAR,A5V,-0.0000380700,299.3173726000,45.5575382000, , , , 
160804217,2013-10-02,56568,56567,KP195920N454621M01,4,217,Unknown,Non,-9999.0000000000,300.0692640000,46.3385186000, , , , 
160801138,2013-10-02,56568,56567,KP195920N454621M01,1,138,Unknown,Non,-9999.0000000000,299.9814009000,44.2212579000, , , , 
160801150,2013-10-02,56568,56567,KP195920N454621M01,1,150,STAR,A2IV,-0.0000019700,300.1588178000,44.2068475000, , , , 
160801192,2013-10-02,56568,56567,KP195920N454621M01,1,192,STAR,A1IV,-0.0001065700,300.4911270000,43.6159062000, , , , 
160801247,2013-10-02,56568,56567,KP195920N454621M01,1,247,STAR,A2V,0.0000264400,299.1873255000,43.4976563000, , , , 
160805014,2013-10-02,56568,56567,KP195920N454621M01,5,14,STAR,A1IV,0.0000582800,299.7020799000,44.3033152000, , , , 
160805097,2013-10-02,56568,56567,KP195920N454621M01,5,97,Unknown,Non,-9999.0000000000,299.2304910000,44.3418724000, , , , 
160805167,2013-10-02,56568,56567,KP195920N454621M01,5,167,STAR,B6,-0.0000326500,299.7924159000,44.8624464000, , , , 
160805224,2013-10-02,56568,56567,KP195920N454621M01,5,224,STAR,A1IV,-0.0000380300,298.5939744000,44.5721951000, , , , 
160805241,2013-10-02,56568,56567,KP195920N454621M01,5,241,STAR,A6IV,0.0000098100,298.9659598000,44.7952700000, , , , 
160807058,2013-10-02,56568,56567,KP195920N454621M01,7,58,STAR,A1IV,0.0000666800,301.6539323000,44.1729793000, , , , 
160807111,2013-10-02,56568,56567,KP195920N454621M01,7,111,STAR,A1V,0.0000690300,301.5279543000,44.3174237000, , , , 
160807166,2013-10-02,56568,56567,KP195920N454621M01,7,166,STAR,A1V,-0.0000724800,300.9488138000,43.4571975000, , , , 
160807189,2013-10-02,56568,56567,KP195920N454621M01,7,189,STAR,A5V,0.0000401100,301.7864414000,44.4063107000, , , , 
160815077,2013-10-02,56568,56567,KP195920N454621M01,15,77,STAR,A5V,-0.0001121776,299.0957869000,46.8605106000,8094.90,3.875,-0.210,-33.63
160815082,2013-10-02,56568,56567,KP195920N454621M01,15,82,STAR,A1V,-0.0000560800,298.7162058000,46.7538964000, , , , 
49508228,2012-04-08,56026,56025,VB3_176N58_V1,8,228,STAR,F0,0.0000077053,177.7104900000,57.6548580000,6806.29,4.099,-0.115,2.31
160808011,2013-10-02,56568,56567,KP195920N454621M01,8,11,Unknown,Non,-9999.0000000000,300.9398137000,45.1674141000, , , , 
160808094,2013-10-02,56568,56567,KP195920N454621M01,8,94,STAR,A2IV,0.0000207000,301.5175425000,45.5587981000, , , , 
160808125,2013-10-02,56568,56567,KP195920N454621M01,8,125,STAR,A1V,0.0000075200,300.9925597000,44.6749305000, , , , 
160808235,2013-10-02,56568,56567,KP195920N454621M01,8,235,STAR,A1IV,-0.0000630200,300.9593694000,45.3460915000, , , , 
160808239,2013-10-02,56568,56567,KP195920N454621M01,8,239,STAR,A6IV,-0.0000332700,300.5320649000,45.3688563000, , , , 
160810016,2013-10-02,56568,56567,KP195920N454621M01,10,16,STAR,A2IV,0.0000547200,297.0207515000,45.3604395000, , , , 
160810071,2013-10-02,56568,56567,KP195920N454621M01,10,71,STAR,A6IV,0.0000696000,297.1867677000,45.0155596000, , , , 
160810114,2013-10-02,56568,56567,KP195920N454621M01,10,114,STAR,A6IV,0.0000332700,296.6734961000,45.2781324000, , , , 
160810165,2013-10-02,56568,56567,KP195920N454621M01,10,165,STAR,A2IV,-0.0000318000,297.9131894000,44.7340574000, , , , 
160806079,2013-10-02,56568,56567,KP195920N454621M01,6,79,STAR,A1V,-0.0000361700,301.9701964000,45.3145743000, , , , 
160806173,2013-10-02,56568,56567,KP195920N454621M01,6,173,STAR,A7V,-0.0000656200,302.9407038000,45.0173719000, , , , 
160806192,2013-10-02,56568,56567,KP195920N454621M01,6,192,STAR,A2IV,0.0000176000,302.2958272000,45.1882760000, , , , 
160812167,2013-10-02,56568,56567,KP195920N454621M01,12,167,STAR,A1IV,-0.0000272300,302.2669204000,47.0736263000, , , , 
160812219,2013-10-02,56568,56567,KP195920N454621M01,12,219,STAR,A2IV,-0.0000107900,302.8485464000,46.9803379000, , , , 
160812241,2013-10-02,56568,56567,KP195920N454621M01,12,241,STAR,A5V,-0.0000034700,300.9717945000,47.8449599000, , , , 
160812249,2013-10-02,56568,56567,KP195920N454621M01,12,249,STAR,A2IV,-0.0000123300,301.2702912000,47.7984185000, , , , 
160809017,2013-10-02,56568,56567,KP195920N454621M01,9,17,STAR,B6,-0.0001481700,301.0818649000,46.0350005000, , , , 
160809174,2013-10-02,56568,56567,KP195920N454621M01,9,174,STAR,A5V,0.0000501000,300.6152796000,46.5019703000, , , , 
160814049,2013-10-02,56568,56567,KP195920N454621M01,14,49,STAR,B6,0.0000455900,296.6607736000,45.9766150000, , , , 
160814133,2013-10-02,56568,56567,KP195920N454621M01,14,133,STAR,A1IV,0.0000368000,297.2867351000,46.6547638000, , , , 
160814184,2013-10-02,56568,56567,KP195920N454621M01,14,184,STAR,A1IV,-0.0000842200,297.1817016000,45.9884185000, , , , 
160811116,2013-10-02,56568,56567,KP195920N454621M01,11,116,STAR,A1IV,-0.0001942700,300.3883258000,48.0302154000, , , , 
160811165,2013-10-02,56568,56567,KP195920N454621M01,11,165,STAR,A1V,-0.0001003800,298.9636302000,48.1333014000, , , , 
160811197,2013-10-02,56568,56567,KP195920N454621M01,11,197,STAR,A1IV,-0.0000890000,299.7678830000,47.8167193000, , , , 
160811231,2013-10-02,56568,56567,KP195920N454621M01,11,231,STAR,A7V,-0.0000571062,299.8890928000,47.4488163000,7700.16,3.972,-0.137,-17.12
57204024,2012-10-01,56202,56201,EG042015S023742V01,4,24,STAR,A6IV,-0.0001196828,64.6617660000,-2.3292640000,7375.25,3.946,-0.018,-35.88
57216209,2012-10-01,56202,56201,EG042015S023742V01,16,209,STAR,B6,0.0000965600,63.4089600000,-1.1496200000, , , , 
57207105,2012-10-01,56202,56201,EG042015S023742V01,7,105,STAR,F0,0.0001076745,65.9073000000,-4.1210300000,7055.33,3.942,0.097,32.28
160903006,2013-10-02,56568,56567,VB081N11V1,3,6,STAR,F5,-3.669E-7,80.3928890000,11.1576930000,6314.18,4.245,-0.028,-0.11
160903018,2013-10-02,56568,56567,VB081N11V1,3,18,STAR,F0,0.0000124086,80.5805290000,11.0193760000,7353.84,3.948,0.091,3.72
160903036,2013-10-02,56568,56567,VB081N11V1,3,36,STAR,F9,0.0000651784,80.2558340000,10.9352120000,5662.58,4.444,-0.070,19.54
160903037,2013-10-02,56568,56567,VB081N11V1,3,37,STAR,A1V,-0.0000128500,80.3197100000,11.0110510000, , , , 
160903093,2013-10-02,56568,56567,VB081N11V1,3,93,STAR,G0,-0.0000092064,79.9576570000,11.3655970000,5969.77,4.117,0.000,-2.76
160903126,2013-10-02,56568,56567,VB081N11V1,3,126,STAR,F6,0.0000622431,80.5955420000,12.0566020000,6164.12,4.245,-0.132,18.66
160903156,2013-10-02,56568,56567,VB081N11V1,3,156,STAR,G2,-0.0000432299,80.4500600000,11.6035790000,5928.42,4.269,-0.057,-12.96
160903166,2013-10-02,56568,56567,VB081N11V1,3,166,STAR,A2V,-0.0000495800,80.4279180000,11.5200900000, , , , 
160903174,2013-10-02,56568,56567,VB081N11V1,3,174,STAR,A2IV,0.0000490700,80.4340060000,11.4776870000, , , , 
160903194,2013-10-02,56568,56567,VB081N11V1,3,194,STAR,F5,0.0000233828,80.3279910000,11.3022320000,6378.53,4.258,0.002,7.01
160903200,2013-10-02,56568,56567,VB081N11V1,3,200,STAR,F6,0.0001525722,80.2192700000,11.2357800000,6011.32,4.108,-0.566,45.74
160902005,2013-10-02,56568,56567,VB081N11V1,2,5,STAR,G3,-0.0000561388,80.5039400000,9.4920100000,5936.14,4.443,0.058,-16.83
160902063,2013-10-02,56568,56567,VB081N11V1,2,63,STAR,F5,0.0000357247,80.6176950000,9.7002601000,6396.33,4.154,-0.115,10.71
160902156,2013-10-02,56568,56567,VB081N11V1,2,156,STAR,F8,-0.0000084058,79.2361870000,10.1004790000,6138.70,4.272,-0.048,-2.52
160902170,2013-10-02,56568,56567,VB081N11V1,2,170,STAR,F5,-0.0000161445,79.1739090000,10.0978250000,6251.96,4.061,-0.429,-4.84
160902174,2013-10-02,56568,56567,VB081N11V1,2,174,STAR,G2,-0.0000798219,79.4073680000,10.1048200000,5831.86,3.957,-0.262,-23.93
160902188,2013-10-02,56568,56567,VB081N11V1,2,188,STAR,F8,0.0001702845,79.6359330000,10.3420250000,6149.23,4.204,-0.012,51.05
160902194,2013-10-02,56568,56567,VB081N11V1,2,194,STAR,F0,0.0001000025,79.6440300000,10.2599410000,6991.45,4.034,-0.132,29.98
160902212,2013-10-02,56568,56567,VB081N11V1,2,212,STAR,A1IV,0.0001011400,79.9717030000,9.4832850000, , , , 
160904025,2013-10-02,56568,56567,VB081N11V1,4,25,STAR,F5,0.0001186821,80.6725740000,11.8523890000,6508.73,4.157,0.187,35.58
160904079,2013-10-02,56568,56567,VB081N11V1,4,79,STAR,F9,0.0000346573,81.4834810000,11.0238160000,5795.09,4.019,0.218,10.39
160904092,2013-10-02,56568,56567,VB081N11V1,4,92,STAR,A1V,0.0000746500,81.2321940000,11.2292930000, , , , 
160904149,2013-10-02,56568,56567,VB081N11V1,4,149,STAR,F0,0.0002229209,81.0737360000,11.2301540000,6480.73,4.083,-0.289,66.83
160904181,2013-10-02,56568,56567,VB081N11V1,4,181,STAR,F8,0.0000506017,80.7802020000,11.3922900000,6157.76,4.258,0.041,15.17
160904189,2013-10-02,56568,56567,VB081N11V1,4,189,STAR,F4,0.0000290868,80.6435600000,11.1713980000,6598.23,4.145,0.026,8.72
160904193,2013-10-02,56568,56567,VB081N11V1,4,193,STAR,G2,0.0001082749,80.9263290000,11.1908570000,5956.64,4.275,0.057,32.46
160904207,2013-10-02,56568,56567,VB081N11V1,4,207,STAR,F5,-0.0001055397,81.2889320000,11.8460120000,6611.38,4.155,0.065,-31.64
160904218,2013-10-02,56568,56567,VB081N11V1,4,218,STAR,B6,0.0000190700,81.2470810000,11.9381070000, , , , 
160904245,2013-10-02,56568,56567,VB081N11V1,4,245,STAR,G7,0.0000079722,81.8447230000,11.6105380000,5396.29,4.650,-0.261,2.39
160916009,2013-10-02,56568,56567,VB081N11V1,16,9,STAR,F5,0.0000615092,79.1081700000,12.7333460000,6572.23,4.202,0.017,18.44
160916050,2013-10-02,56568,56567,VB081N11V1,16,50,STAR,A1V,0.0000663800,79.7204870000,13.5657270000, , , , 
160916062,2013-10-02,56568,56567,VB081N11V1,16,62,STAR,F0,0.0001034049,79.9752660000,13.2232460000,6927.60,4.044,0.080,31.00
160916197,2013-10-02,56568,56567,VB081N11V1,16,197,STAR,A6IV,-0.0000193467,79.8547430000,12.9395500000,8012.58,4.069,-0.164,-5.80
160907006,2013-10-02,56568,56567,VB081N11V1,7,6,STAR,F0,0.0000356246,82.1905610000,9.7443290000,7129.03,4.086,-0.243,10.68
160907007,2013-10-02,56568,56567,VB081N11V1,7,7,STAR,A6IV,0.0000634000,81.9548790000,9.7305130000, , , , 
160907013,2013-10-02,56568,56567,VB081N11V1,7,13,STAR,A6IV,0.0000349700,82.1612680000,9.7831680000, , , , 
160907087,2013-10-02,56568,56567,VB081N11V1,7,87,STAR,F0,-0.0000938316,82.9302290000,9.8139660000,6644.22,4.180,-0.056,-28.13
160907191,2013-10-02,56568,56567,VB081N11V1,7,191,STAR,F5,-0.0001073076,82.7818600000,10.3858700000,6474.36,4.082,-0.219,-32.17
160907196,2013-10-02,56568,56567,VB081N11V1,7,196,STAR,F9,0.0003038769,82.6191540000,10.3718640000,5974.60,4.213,-0.318,91.10
160907223,2013-10-02,56568,56567,VB081N11V1,7,223,STAR,A1V,-0.0000246300,82.7166500000,9.6189730000, , , , 
49603161,2012-04-08,56026,56025,VB3_176N58_V2,3,161,STAR,F4,-0.0001373283,174.8112300000,58.1643520000,6518.37,4.010,-0.089,-41.17
160908089,2013-10-02,56568,56567,VB081N11V1,8,89,STAR,F3,-0.0001390629,82.5612440000,11.4196620000,6607.82,4.160,-0.170,-41.69
160908128,2013-10-02,56568,56567,VB081N11V1,8,128,STAR,F5,-0.0001383624,82.2759670000,10.6707880000,6421.15,4.042,0.076,-41.48
160908148,2013-10-02,56568,56567,VB081N11V1,8,148,STAR,A5V,-0.0001238190,82.4204640000,10.7924630000,7884.33,3.778,-0.103,-37.12
160908166,2013-10-02,56568,56567,VB081N11V1,8,166,STAR,F8,0.0000982346,81.6967990000,10.7164630000,6129.43,4.386,-0.016,29.45
160908170,2013-10-02,56568,56567,VB081N11V1,8,170,STAR,A5V,0.0000511500,81.6345120000,11.0660240000, , , , 
160908171,2013-10-02,56568,56567,VB081N11V1,8,171,STAR,F0,0.0000323600,81.7256640000,10.6595560000, , , , 
160908181,2013-10-02,56568,56567,VB081N11V1,8,181,STAR,F0,-0.0000063377,81.7038060000,10.6085150000,7096.24,4.044,-0.037,-1.90
160908194,2013-10-02,56568,56567,VB081N11V1,8,194,STAR,F0,0.0000807892,81.9291190000,10.5425350000,6880.09,3.967,-0.002,24.22
160908197,2013-10-02,56568,56567,VB081N11V1,8,197,STAR,F0,-0.0001265542,81.5644050000,10.5789350000,6833.76,3.926,0.107,-37.94
160908207,2013-10-02,56568,56567,VB081N11V1,8,207,STAR,F5,0.0000557386,81.8717700000,10.2311550000,6589.58,4.158,-0.004,16.71
160908243,2013-10-02,56568,56567,VB081N11V1,8,243,STAR,F0,0.0000950658,81.9513090000,11.2285590000,7251.25,3.909,-0.061,28.50
160901012,2013-10-02,56568,56567,VB081N11V1,1,12,STAR,G2,0.0002010724,81.4913400000,9.1229870000,5797.15,4.425,-0.389,60.28
160901022,2013-10-02,56568,56567,VB081N11V1,1,22,STAR,A2IV,0.0000929800,81.4306530000,9.1753090000, , , , 
160901058,2013-10-02,56568,56567,VB081N11V1,1,58,STAR,A5V,-0.0000211900,80.9562930000,9.7154528000, , , , 
160901082,2013-10-02,56568,56567,VB081N11V1,1,82,STAR,F0,0.0000751186,81.4011440000,9.5606310000,6955.99,3.999,0.101,22.52
160901107,2013-10-02,56568,56567,VB081N11V1,1,107,STAR,G3,0.0000638442,81.5168250000,9.4184540000,5706.38,4.409,-0.207,19.14
160901110,2013-10-02,56568,56567,VB081N11V1,1,110,STAR,F5,-0.0000171786,81.6297370000,9.6302735000,6428.90,4.231,-0.224,-5.15
160901113,2013-10-02,56568,56567,VB081N11V1,1,113,STAR,A1IV,0.0000194600,81.5401970000,9.5767050000, , , , 
160901137,2013-10-02,56568,56567,VB081N11V1,1,137,STAR,G0,-0.0001433658,81.3350710000,9.7595480000,6005.08,4.097,-0.169,-42.98
